Concurso;Data_Sorteio;Bola1;Bola2;Bola3;Bola4;Bola5;Bola6;Bola7;Bola8;Bola9;Bola10;Bola11;Bola12;Bola13;Bola14;Bola15;Arrecada‡Æo_Total;Ganhadores_15_N£meros;Ganhadores_14_N£meros;Ganhadores_13_N£meros;Ganhadores_12_N£meros;Ganhadores_11_N£meros;Valor_Rateio_15_N£meros;Valor_Rateio_14_N£meros;Valor_Rateio_13_N£meros;Valor_Rateio_12_N£meros;Valor_Rateio_11_N£meros;Acumulado_15_N£meros;Estimativa_Prˆmio;Valor_Acumulado_Especial
1;29/09/2003;2;3;5;6;9;10;11;13;14;16;18;20;23;24;25;R$ 0,00;5;154;4645;48807;257593;R$ 49.765,82;R$ 689,84;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
2;06/10/2003;1;4;5;6;7;9;11;12;13;15;16;19;20;23;24;R$ 0,00;1;184;6232;81252;478188;R$ 596.323,70;R$ 1.388,95;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
3;13/10/2003;1;4;6;7;8;9;10;11;12;14;16;17;20;23;24;R$ 0,00;2;158;6897;96244;608211;R$ 400.623,70;R$ 2.173,36;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
4;20/10/2003;1;2;4;5;8;10;12;13;16;17;18;19;23;24;25;R$ 0,00;1;258;9569;123912;706657;R$ 902.226,02;R$ 1.498,72;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
5;27/10/2003;1;2;4;8;9;11;12;13;15;16;19;20;23;24;25;R$ 0,00;2;472;14736;195636;860992;R$ 380.017,55;R$ 687,49;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
6;03/11/2003;1;2;4;5;6;7;10;12;15;16;17;19;21;23;25;R$ 0,00;2;393;14242;162320;888301;R$ 489.140,06;R$ 1.066,83;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
7;10/11/2003;1;4;7;8;10;12;14;15;16;18;19;21;22;23;25;R$ 0,00;9;1333;25878;206828;967358;R$ 104.625,29;R$ 301,59;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
8;17/11/2003;1;5;6;8;9;10;13;15;16;17;18;19;20;22;25;R$ 0,00;1;256;11414;149037;926910;R$ 1.201.958,08;R$ 2.012,21;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
9;24/11/2003;3;4;5;9;10;11;13;15;16;17;19;20;21;24;25;R$ 0,00;3;407;14973;213511;1104328;R$ 336.053,65;R$ 1.061,60;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
10;01/12/2003;2;3;4;5;6;8;9;10;11;12;14;19;20;23;24;R$ 0,00;0;380;15767;207355;1186563;R$ 0,00;R$ 1.157,08;R$ 10,00;R$ 4,00;R$ 2,00;R$ 1.025.945,00;R$ 0,00;R$ 0,00
11;08/12/2003;2;6;7;8;9;10;11;12;16;19;20;22;23;24;25;R$ 0,00;0;306;14249;216679;1343171;R$ 0,00;R$ 1.855,82;R$ 10,00;R$ 4,00;R$ 2,00;R$ 2.351.000,93;R$ 0,00;R$ 0,00
12;15/12/2003;1;2;4;5;7;8;9;10;11;12;14;16;17;24;25;R$ 0,00;1;631;24400;322557;1607584;R$ 3.490.966,18;R$ 771,32;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
13;22/12/2003;3;5;6;7;8;9;10;11;13;14;15;16;17;19;23;R$ 0,00;3;714;27399;320961;1501354;R$ 269.157,25;R$ 482,84;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
14;29/12/2003;1;2;5;6;7;9;13;14;15;18;19;20;21;23;25;R$ 0,00;3;444;15413;214582;1149506;R$ 411.362,89;R$ 1.191,21;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
15;05/01/2004;1;2;4;6;8;10;12;15;16;18;19;21;23;24;25;R$ 0,00;22;2059;38038;379994;1198158;R$ 27.525,68;R$ 125,58;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
16;12/01/2004;2;5;6;7;8;10;12;13;15;17;19;21;23;24;25;R$ 0,00;9;1086;29005;329409;1471908;R$ 83.935,77;R$ 296,98;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
17;19/01/2004;1;2;3;5;6;7;9;13;14;16;17;18;19;20;21;R$ 0,00;1;320;14425;232740;1083387;R$ 1.427.169,94;R$ 1.911,39;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
18;26/01/2004;2;6;7;8;10;11;14;15;17;18;19;20;22;23;24;R$ 0,00;3;309;12373;174339;1079894;R$ 487.887,61;R$ 2.030,05;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
19;02/02/2004;2;5;6;7;8;10;11;13;14;15;16;17;20;23;24;R$ 0,00;10;818;23594;326913;1333412;R$ 82.040,05;R$ 428,20;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
20;09/02/2004;3;4;6;7;8;9;10;14;16;17;18;19;20;23;24;R$ 0,00;9;931;19580;266087;1462294;R$ 122.882,04;R$ 507,17;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
21;16/02/2004;1;2;4;5;8;11;14;16;18;19;20;22;23;24;25;R$ 0,00;3;316;13077;203475;1211951;R$ 530.990,23;R$ 2.160,45;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
22;25/02/2004;1;2;3;4;5;6;7;9;10;12;13;14;15;22;25;R$ 0,00;1;484;55372;152738;868693;R$ 1.081.149,89;R$ 957,34;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
23;01/03/2004;1;3;4;5;6;8;10;11;12;14;16;17;18;19;20;R$ 0,00;1;541;16248;215670;1187602;R$ 1.178.452,05;R$ 933,55;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
24;08/03/2004;1;2;3;5;7;10;11;14;17;19;20;21;23;24;25;R$ 0,00;2;585;22453;258724;1286374;R$ 662.295,89;R$ 970,40;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
25;15/03/2004;1;2;3;4;5;6;7;9;13;14;16;20;22;23;24;R$ 0,00;0;417;16108;213231;1288117;R$ 0,00;R$ 1.437,73;R$ 10,00;R$ 4,00;R$ 2,00;R$ 1.398.910,67;R$ 0,00;R$ 0,00
26;22/03/2004;5;7;8;9;10;11;13;14;16;17;19;20;21;22;23;R$ 0,00;3;602;22397;317722;1659205;R$ 970.676,17;R$ 1.077,21;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
27;29/03/2004;3;6;8;10;11;12;13;14;15;18;20;21;22;24;25;R$ 0,00;2;466;15650;216827;1192912;R$ 811.005,39;R$ 1.491,73;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
28;05/04/2004;1;3;7;9;10;11;12;13;14;16;17;18;19;20;21;R$ 0,00;2;556;22300;307113;1363336;R$ 536.916,65;R$ 827,73;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
29;12/04/2004;1;4;5;6;8;9;13;14;16;17;19;20;21;22;24;R$ 0,00;5;456;14375;181147;1203109;R$ 317.538,81;R$ 1.492,19;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
30;19/04/2004;1;2;3;4;6;7;8;11;14;17;19;20;21;22;23;R$ 0,00;2;345;13480;184916;1136035;R$ 813.271,34;R$ 2.020,55;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
31;26/04/2004;1;2;3;4;9;13;14;15;17;19;20;21;22;24;25;R$ 0,00;3;250;13005;189635;1161305;R$ 503.451,70;R$ 2.589,18;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
32;03/05/2004;1;2;4;6;7;9;10;11;14;15;16;17;20;22;23;R$ 0,00;2;384;14060;199525;1175480;R$ 706.634,89;R$ 1.577,31;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
33;10/05/2004;1;2;5;7;8;10;11;12;14;16;19;20;21;23;24;R$ 0,00;9;1358;35450;328729;1417927;R$ 109.171,84;R$ 308,91;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
34;17/05/2004;1;2;4;7;8;9;10;11;15;16;18;19;20;21;23;R$ 0,00;0;407;16589;216210;1359006;R$ 0,00;R$ 1.381,20;R$ 10,00;R$ 4,00;R$ 2,00;R$ 1.311.675,01;R$ 0,00;R$ 0,00
35;24/05/2004;1;4;5;6;11;12;13;14;16;17;19;21;22;23;25;R$ 0,00;1;291;12750;191524;1338198;R$ 3.155.820,04;R$ 2.715,98;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
36;31/05/2004;1;4;5;7;8;10;11;14;17;19;20;21;22;23;24;R$ 0,00;6;1573;40526;453277;1414816;R$ 92.828,37;R$ 151,18;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
37;07/06/2004;1;3;4;5;8;9;10;11;13;15;20;21;22;23;24;R$ 0,00;1;283;11976;182815;1220504;R$ 1.371.528,32;R$ 2.077,02;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
38;14/06/2004;1;2;3;6;7;8;9;10;13;14;15;16;22;24;25;R$ 0,00;0;298;12361;181763;1122407;R$ 0,00;R$ 2.240,91;R$ 10,00;R$ 4,00;R$ 2,00;R$ 1.558.182,50;R$ 0,00;R$ 0,00
39;21/06/2004;2;7;8;9;11;13;14;15;17;18;19;21;22;23;24;R$ 0,00;3;915;31607;352332;1626512;R$ 888.003,60;R$ 516,00;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
40;28/06/2004;1;2;5;7;8;10;12;13;14;16;17;20;21;22;24;R$ 0,00;9;650;20792;266561;1331593;R$ 129.462,67;R$ 765,33;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
41;05/07/2004;2;3;4;9;12;13;15;16;17;18;19;20;21;23;25;R$ 0,00;5;431;16555;218669;1304019;R$ 285.091,61;R$ 1.417,43;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
42;12/07/2004;1;3;4;5;6;8;11;12;14;15;17;21;22;24;25;R$ 0,00;1;351;14288;205537;1065540;R$ 1.731.431,15;R$ 2.114,08;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
43;19/07/2004;1;3;6;7;8;9;10;14;17;18;19;20;22;23;24;R$ 0,00;2;448;31225;257520;1394077;R$ 550.553,79;R$ 1.053,36;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
44;26/07/2004;3;4;5;6;10;11;12;13;14;18;19;21;23;24;25;R$ 0,00;0;334;12675;172526;1140441;R$ 0,00;R$ 2.056,93;R$ 10,00;R$ 4,00;R$ 2,00;R$ 1.603.036,94;R$ 0,00;R$ 0,00
45;02/08/2004;1;2;3;5;7;9;14;16;17;18;19;21;23;24;25;R$ 0,00;4;602;23232;353114;1591989;R$ 731.525,88;R$ 941,91;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
46;09/08/2004;1;2;4;5;6;8;10;11;14;18;19;21;23;24;25;R$ 0,00;4;825;24898;340899;1460500;R$ 308.549,13;R$ 638,71;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
47;16/08/2004;1;2;3;4;5;6;8;10;11;13;15;18;20;22;25;R$ 0,00;16;933;25668;259783;1267303;R$ 94.685,43;R$ 693,26;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
48;23/08/2004;2;5;6;7;11;13;15;16;17;18;19;20;21;22;23;R$ 0,00;2;331;13606;193466;1299636;R$ 777.343,31;R$ 2.012,97;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
49;30/08/2004;2;4;5;6;8;11;13;15;16;19;20;21;22;23;24;R$ 0,00;0;673;22438;282506;1269761;R$ 0,00;R$ 806,00;R$ 10,00;R$ 4,00;R$ 2,00;R$ 1.265.682,65;R$ 0,00;R$ 0,00
50;06/09/2004;1;2;3;6;7;9;10;11;12;13;19;20;21;23;25;R$ 0,00;1;659;21583;298054;1545777;R$ 2.776.089,01;R$ 982,27;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
51;13/09/2004;1;3;5;6;7;8;11;13;14;16;17;20;21;22;23;R$ 0,00;2;765;22722;302341;1520867;R$ 545.229,30;R$ 608,58;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
52;20/09/2004;1;2;4;8;9;11;12;13;15;16;21;22;23;24;25;R$ 0,00;3;420;24265;205595;1156747;R$ 532.065,25;R$ 1.628,77;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
53;27/09/2004;1;2;3;6;7;9;11;12;14;17;18;19;20;23;24;R$ 0,00;4;564;19767;262234;1425498;R$ 269.887,95;R$ 820,33;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
54;04/10/2004;2;4;5;6;7;8;9;12;14;16;18;20;21;22;24;R$ 0,00;27;2269;40058;272073;1157000;R$ 46.149,84;R$ 234,47;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
55;11/10/2004;2;3;4;5;6;7;8;9;12;13;15;16;18;19;25;R$ 0,00;6;682;24083;253488;1334310;R$ 213.174,74;R$ 803,76;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
56;18/10/2004;1;2;5;9;12;13;14;15;16;17;19;20;22;23;24;R$ 0,00;0;401;17323;225472;1396834;R$ 0,00;R$ 1.427,28;R$ 10,00;R$ 4,00;R$ 2,00;R$ 1.335.461,47;R$ 0,00;R$ 0,00
57;25/10/2004;1;2;3;4;6;7;8;11;12;17;19;20;21;22;25;R$ 0,00;1;571;33796;229355;1390034;R$ 3.278.857,27;R$ 1.458,64;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
58;01/11/2004;3;4;5;6;11;12;13;14;15;16;17;18;19;20;22;R$ 0,00;6;559;17361;165098;1095964;R$ 294.482,82;R$ 1.354,64;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
59;08/11/2004;1;3;5;6;7;8;10;11;13;14;15;19;20;23;25;R$ 0,00;2;662;27187;351810;1707263;R$ 439.884,44;R$ 567,39;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
60;16/11/2004;1;2;3;4;5;8;11;16;17;18;19;22;23;24;25;R$ 0,00;3;362;30873;165747;1022631;R$ 485.556,53;R$ 1.724,55;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
61;22/11/2004;1;4;5;9;11;12;13;14;15;16;19;20;22;23;25;R$ 0,00;2;300;14553;253317;1311870;R$ 698.017,29;R$ 1.994,34;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
62;29/11/2004;1;3;7;8;9;11;13;14;15;16;17;18;20;24;25;R$ 0,00;5;432;19513;234116;1336449;R$ 282.087,66;R$ 1.399,25;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
63;06/12/2004;4;8;9;10;11;12;13;16;17;19;20;21;22;24;25;R$ 0,00;2;379;15221;209528;1301392;R$ 870.856,42;R$ 1.969,52;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
64;13/12/2004;1;2;3;6;7;8;9;10;13;14;17;18;20;23;25;R$ 0,00;4;525;20308;280806;1586899;R$ 323.455,35;R$ 1.056,18;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
65;20/12/2004;1;2;4;7;10;15;16;17;18;19;20;21;22;23;25;R$ 0,00;0;300;13067;218281;1147456;R$ 0,00;R$ 2.735,19;R$ 10,00;R$ 4,00;R$ 2,00;R$ 1.914.633,24;R$ 0,00;R$ 0,00
66;27/12/2004;1;2;4;8;10;11;14;15;16;17;20;21;22;23;24;R$ 0,00;8;834;25470;309390;1631513;R$ 434.105,49;R$ 800,73;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
67;03/01/2005;5;7;8;9;10;11;12;13;15;16;20;21;22;23;24;R$ 0,00;4;294;12324;205063;1212285;R$ 394.429,73;R$ 2.299,88;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
68;10/01/2005;1;2;3;5;6;7;8;9;10;12;16;17;22;23;25;R$ 0,00;2;368;14579;211030;1291340;R$ 853.689,74;R$ 1.988,41;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
69;17/01/2005;1;4;7;8;9;10;11;15;17;18;19;20;21;23;24;R$ 0,00;4;619;34720;283047;1543014;R$ 296.233,16;R$ 820,40;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
70;24/01/2005;1;2;3;5;6;9;10;12;14;15;16;19;20;24;25;R$ 0,00;6;611;19413;230116;1265554;R$ 264.323,93;R$ 1.112,42;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
71;31/01/2005;1;3;5;6;8;9;11;13;14;15;16;18;21;22;23;R$ 0,00;4;744;21490;276234;1289869;R$ 349.187,58;R$ 804,58;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
72;09/02/2005;1;2;5;7;8;11;12;13;15;16;17;18;23;24;25;R$ 0,00;2;485;16561;198957;1178585;R$ 571.665,39;R$ 1.010,31;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
73;14/02/2005;1;2;5;7;10;11;13;14;15;16;17;18;19;21;25;R$ 0,00;3;401;16615;240646;1388168;R$ 404.461,66;R$ 1.296,82;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
74;21/02/2005;1;2;3;4;5;6;8;11;13;15;16;18;22;23;25;R$ 0,00;7;861;36320;325482;1342101;R$ 165.704,35;R$ 575,18;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
75;28/02/2005;1;3;4;5;6;7;8;10;11;13;15;16;17;20;25;R$ 0,00;2;564;22764;330303;1538522;R$ 531.264,65;R$ 807,39;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
76;07/03/2005;1;3;5;8;9;10;12;13;15;16;17;19;21;23;25;R$ 0,00;13;2705;63452;463129;1672037;R$ 49.566,81;R$ 101,71;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
77;14/03/2005;2;3;4;6;8;9;11;14;17;18;20;21;22;24;25;R$ 0,00;4;742;21609;228257;1213259;R$ 434.837,87;R$ 1.004,63;R$ 10,00;R$ 4,00;R$ 2,00;R$ 0,00;R$ 0,00;R$ 0,00
